sample1,sample2,distance
NA21093.1,NA21144.2,0.881774
HG02293.1,HG02583.2,0.866951
HG02293.1,NA19043.2,0.895407
NA20805.1,NA21093.1,0.899694
HG00438.1,NA21093.1,0.891098
HG02040.2,NA21093.1,0.893467
HG01150.1,NA21093.1,0.873942
HG02258.1,NA21093.1,0.883324
HG02293.1,HG02486.1,0.866798
HG02132.2,NA21093.1,0.872886
HG02293.1,NA19043.1,0.898197
HG02293.1,NA20905.1,0.849628
HG02056.1,NA21093.1,0.899400
NA18974.2,NA21093.1,0.897802
HG00323.2,NA21093.1,0.892414
HG00099.1,NA21093.1,0.892087
HG02293.1,HG03669.2,0.791909
NA21093.1,NA21106.1,0.887262
HG02293.1,NA21309.2,0.891244
HG01975.2,NA21093.1,0.867516
HG04160.2,NA21093.1,0.884790
NA19443.2,NA21093.1,0.879927
HG00097.1,NA21093.1,0.894555
HG02293.1,HG04160.1,0.862907
HG02293.1,HG03521.2,0.884157
HG00320.1,HG02293.1,0.898985
HG02293.1,NA19159.2,0.880927
HG02293.1,NA19391.1,0.872085
HG03239.1,NA21093.1,0.878684
HG00344.2,NA21093.1,0.880162
HG01081.1,NA21093.1,0.863671
HG02293.1,HG02984.1,0.885975
HG02559.2,NA21093.1,0.894721
HG02293.1,HG03471.1,0.869911
HG02293.1,HG03098.2,0.879583
HG03704.1,NA21093.1,0.891283
HG02293.1,NA20129.1,0.876704
HG03270.2,NA21093.1,0.895867
HG01109.2,HG02293.1,0.854405
HG03804.2,NA21093.1,0.890265
NA20905.2,NA21093.1,0.891641
HG02293.1,HG02976.1,0.879447
