window_start	window_end	cigar_string
121895768	121896767	3987=
121896768	121897767	3987=
121897768	121898767	3987=
121898768	121899767	3987=1X101=
121899768	121900767	101=1X2634=
121900768	121901767	2634=
121901768	121902767	2634=2375D
121902768	121903767	2375D
121903768	121904767	2375D
121904768	121905767	2375D656=1X2413=
121905768	121906767	2413=
121906768	121907767	2413=
121907768	121908767	2413=1X322=1X7966=
121908768	121909767	7966=
121909768	121910767	7966=
121910768	121911767	7966=
121911768	121912767	7966=
121912768	121913767	7966=
121913768	121914767	7966=
121914768	121915767	7966=
121915768	121916767	7966=1X106=1X6618=
121916768	121917767	6618=
121917768	121918767	6618=
121918768	121919767	6618=
121919768	121920767	6618=
121920768	121921767	6618=
121921768	121922767	6618=
121922768	121923767	6618=1X1943=
121923768	121924767	1943=
121924768	121925767	1943=1X170=2717D
121925768	121926767	2717D
121926768	121927767	2717D
121927768	121928767	2717D2257=
121928768	121929767	2257=
121929768	121930767	2257=1X3592=
121930768	121931767	3592=
121931768	121932767	3592=
121932768	121933767	3592=1X390=
121933768	121934767	390=1X2529=
121934768	121935767	2529=
121935768	121936767	2529=1X565=
121936768	121937767	565=1X1260=
121937768	121938767	1260=1X1732=
121938768	121939767	1732=
121939768	121940767	1732=1700D
121940768	121941767	1700D
121941768	121942767	1700D560=1X850=
121942768	121943767	850=1700D
121943768	121944767	1700D
121944768	121945767	1700D1001=
121945768	121946767	1001=1699D
121946768	121947767	1699D3234=
121947768	121948767	3234=
121948768	121949767	3234=
121949768	121950767	3234=
121950768	121951767	3234=13941I1669=
121951768	121952767	1669=1X14=1X3=1X2532=
121952768	121953767	2532=
121953768	121954767	2532=
121954768	121955767	2532=1X192=1021I15=1X1789=
121955768	121956767	1789=
121956768	121957767	1789=1X2=1X235=1700I502=
121957768	121958767	502=1X4032=
121958768	121959767	4032=
121959768	121960767	4032=
121960768	121961767	4032=
121961768	121962767	4032=340D1525=
121962768	121963767	1525=341I4306=
121963768	121964767	4306=
121964768	121965767	4306=
121965768	121966767	4306=
121966768	121967767	4306=
121967768	121968767	4306=1X272=1X1028=
121968768	121969767	1028=1X8=1X2576=
121969768	121970767	2576=
121970768	121971767	2576=
121971768	121972767	2576=1X3228=
121972768	121973767	3228=
121973768	121974767	3228=
121974768	121975767	3228=1X796=
121975768	121976767	796=1X1266=
121976768	121977767	1266=1X8132=
121977768	121978767	8132=
121978768	121979767	8132=
121979768	121980767	8132=
121980768	121981767	8132=
121981768	121982767	8132=
121982768	121983767	8132=
121983768	121984767	8132=
121984768	121985767	8132=1X830=
121985768	121986767	830=1X3667=
121986768	121987767	3667=
121987768	121988767	3667=
121988768	121989767	3667=
121989768	121990767	3667=5096I643=1X7771=
121990768	121991767	7771=
121991768	121992767	7771=
121992768	121993767	7771=
121993768	121994767	7771=
121994768	121995767	7771=
121995768	121996767	7771=
121996768	121997767	7771=
121997768	121998767	7771=1X541=
121998768	121999767	541=2377I83=1X11=2X5=1X35=1X15=1X4157=
121999768	122000767	4157=
122000768	122001767	4157=
122001768	122002767	4157=
122002768	122003767	4157=1X209=1X342=1X1398=
122003768	122004767	1398=
122004768	122005767	1398=1D1013=
122005768	122006767	1013=1X1122=
122006768	122007767	1122=1X6803=
122007768	122008767	6803=
122008768	122009767	6803=
122009768	122010767	6803=
122010768	122011767	6803=
122011768	122012767	6803=
122012768	122013767	6803=
122013768	122014767	6803=1X541=1X910=
122014768	122015767	910=1X4130=
122015768	122016767	4130=
122016768	122017767	4130=
122017768	122018767	4130=
122018768	122019767	4130=1X4105=
122019768	122020767	4105=
122020768	122021767	4105=
122021768	122022767	4105=
122022768	122023767	4105=1X5556=
122023768	122024767	5556=
122024768	122025767	5556=
122025768	122026767	5556=
122026768	122027767	5556=
122027768	122028767	5556=
122028768	122029767	5556=1X1597=
122029768	122030767	1597=
122030768	122031767	1597=1X177=1X1=1X600=1X1=1X559=
122031768	122032767	559=1X3603=
122032768	122033767	3603=
122033768	122034767	3603=
122034768	122035767	3603=
122035768	122036767	3603=2458I1667=
122036768	122037767	1667=340I2740=
122037768	122038767	2740=
122038768	122039767	2740=
122039768	122040767	2740=1X6829=
122040768	122041767	6829=
122041768	122042767	6829=
122042768	122043767	6829=
122043768	122044767	6829=
122044768	122045767	6829=
122045768	122046767	6829=
122046768	122047767	6829=1D1094=
122047768	122048767	1094=1X728=
122048768	122049767	728=1X6541=
122049768	122050767	6541=
122050768	122051767	6541=
122051768	122052767	6541=
122052768	122053767	6541=
122053768	122054767	6541=
122054768	122055767	6541=1X118=419D
122055768	122056767	419D2090=
122056768	122057767	2090=
122057768	122058767	2090=1X1352=
122058768	122059767	1352=1X978=
122059768	122060767	978=1X1242=
122060768	122061767	1242=1X4847=
122061768	122062767	4847=
122062768	122063767	4847=
122063768	122064767	4847=
122064768	122065767	4847=
122065768	122066767	4847=1X3865=
122066768	122067767	3865=
122067768	122068767	3865=
122068768	122069767	3865=
122069768	122070767	3865=1X1466=
122070768	122071767	1466=
122071768	122072767	1466=1X239=1X1511=
122072768	122073767	1511=185D4=155D
122073768	122074767	155D2161=
122074768	122075767	2161=
122075768	122076767	2161=1X1527=
122076768	122077767	1527=1X2891=
122077768	122078767	2891=
122078768	122079767	2891=
122079768	122080767	2891=1X1187=
122080768	122081767	1187=1X230=
122081768	122082767	230=1X3133=
122082768	122083767	3133=
122083768	122084767	3133=
122084768	122085767	3133=1X2839=
122085768	122086767	2839=
122086768	122087767	2839=
122087768	122088767	2839=1X460=1X3188=
122088768	122089767	3188=
122089768	122090767	3188=
122090768	122091767	3188=1X2825=
122091768	122092767	2825=
122092768	122093767	2825=
122093768	122094767	2825=1X1413=
122094768	122095767	1413=1X427=
122095768	122096767	427=1X3565=
122096768	122097767	3565=
122097768	122098767	3565=
122098768	122099767	3565=1X355=
122099768	122100767	355=1X1327=
122100768	122101767	1327=1X1947=
122101768	122102767	1947=
122102768	122103767	1947=1X355=1X114=
122103768	122104767	114=1018I124=1X175=1X341=1X42=1X64=1015D
122104768	122105767	1015D96=1X31=1X47=
122105768	122106767	47=1X13=1X122=1X13=1X20=1X29=1X5=1X50=1X80=1X37=1X21=1X59=1X39=1X62=1X3=1X7=1X28=1X68=1X58=1X211=1X32=1X18=
122106768	122107767	18=1X12=2X2=1X4=1X1=1X8=1X10=1X23=1X6=1I2=1D6=1X2=1X3=2X1=1X9=1X11=1X16=1X13=1X2=2X10=1X9=1X11=79I78=1X4=1X50=1X83=2X28=1X49=1X22=1X185=1X4=1X16=1X25=1X30=1X28=1X165=1X9=1X67=
122107768	122108767	67=1X61=1X12=1X13=1X4=1D2=1I20=1X21=1X17=1X25=1X11=1X16=1X14=1X36=1X12=1X16=1X100=1X26=1D39=1X21=1X16=1X15=1X48=1X1=1X10=1X25=1X49=1X3=1X7=1X2=1X770=
122108768	122109767	770=1X4283=
122109768	122110767	4283=
122110768	122111767	4283=
122111768	122112767	4283=
122112768	122113767	4283=1X7994=
122113768	122114767	7994=
122114768	122115767	7994=
122115768	122116767	7994=
122116768	122117767	7994=
122117768	122118767	7994=
122118768	122119767	7994=
122119768	122120767	7994=
122120768	122121767	7994=5438D
122121768	122122767	5438D
122122768	122123767	5438D
122123768	122124767	5438D
122124768	122125767	5438D
122125768	122126767	5438D
122126768	122127767	5438D3086=
122127768	122128767	3086=
122128768	122129767	3086=
122129768	122130767	3086=1X1529=
122130768	122131767	1529=2039I533=
122131768	122132767	533=1X6104=
122132768	122133767	6104=
122133768	122134767	6104=
122134768	122135767	6104=
122135768	122136767	6104=
122136768	122137767	6104=
122137768	122138767	6104=1X9=1X5717=
122138768	122139767	5717=
122139768	122140767	5717=
122140768	122141767	5717=
122141768	122142767	5717=
122142768	122143767	5717=
122143768	122144767	5717=7141D
122144768	122145767	7141D
122145768	122146767	7141D
122146768	122147767	7141D
122147768	122148767	7141D
122148768	122149767	7141D
122149768	122150767	7141D
122150768	122151767	7141D248=1X112=1X49=1X24=1X6=1D7=1X4=1X1=1X1=1X18=1X3=1X2551=
122151768	122152767	2551=
122152768	122153767	2551=
122153768	122154767	2551=1X4271=
122154768	122155767	4271=
122155768	122156767	4271=
122156768	122157767	4271=
122157768	122158767	4271=1X3485=
122158768	122159767	3485=
122159768	122160767	3485=
122160768	122161767	3485=
122161768	122162767	3485=1X1626=
122162768	122163767	1626=1X1627=
122163768	122164767	1627=
122164768	122165767	1627=1X30=1X2965=
122165768	122166767	2965=
122166768	122167767	2965=
122167768	122168767	2965=341I1836=
122168768	122169767	1836=
122169768	122170767	1836=1X1519=
122170768	122171767	1519=2039D
122171768	122172767	2039D
122172768	122173767	2039D12872=
122173768	122174767	12872=
122174768	122175767	12872=
122175768	122176767	12872=
122176768	122177767	12872=
122177768	122178767	12872=
122178768	122179767	12872=
122179768	122180767	12872=
122180768	122181767	12872=
122181768	122182767	12872=
122182768	122183767	12872=
122183768	122184767	12872=
122184768	122185767	12872=
122185768	122186767	12872=1X6343=
122186768	122187767	6343=
122187768	122188767	6343=
122188768	122189767	6343=
122189768	122190767	6343=
122190768	122191767	6343=
122191768	122192767	6343=1X468=
122192768	122193767	468=1X3290=
122193768	122194767	3290=
122194768	122195767	3290=
122195768	122196767	3290=1X3570=
122196768	122197767	3570=
122197768	122198767	3570=
122198768	122199767	3570=
122199768	122200767	3570=1X1646=
122200768	122201767	1646=1695D
122201768	122202767	1695D
122202768	122203767	1695D7675=
122203768	122204767	7675=
122204768	122205767	7675=
122205768	122206767	7675=
122206768	122207767	7675=
122207768	122208767	7675=
122208768	122209767	7675=
122209768	122210767	7675=
122210768	122211767	7675=1699I255=1X3632=
122211768	122212767	3632=
122212768	122213767	3632=
122213768	122214767	3632=
122214768	122215767	3632=1X2315=
122215768	122216767	2315=
122216768	122217767	2315=1I1=1D22=1I911=
122217768	122218767	911=1X2115=
122218768	122219767	2115=
122219768	122220767	2115=1X4714=
122220768	122221767	4714=
122221768	122222767	4714=
122222768	122223767	4714=
122223768	122224767	4714=
122224768	122225767	4714=1I2459=
122225768	122226767	2459=
122226768	122227767	2459=1X188=1X1334=
122227768	122228767	1334=
122228768	122229767	1334=1X1050=
122229768	122230767	1050=1X1036=
122230768	122231767	1036=3398D
122231768	122232767	3398D
122232768	122233767	3398D
122233768	122234767	3398D3307=
122234768	122235767	3307=
122235768	122236767	3307=
122236768	122237767	3307=
122237768	122238767	3307=1X4802=
122238768	122239767	4802=
122239768	122240767	4802=
122240768	122241767	4802=
122241768	122242767	4802=1X3868=
122242768	122243767	3868=
122243768	122244767	3868=
122244768	122245767	3868=
122245768	122246767	3868=1X1408=
122246768	122247767	1408=
122247768	122248767	1408=1X764=1X308=
122248768	122249767	308=1X2027=
122249768	122250767	2027=
122250768	122251767	2027=1X662=1X1507=
122251768	122252767	1507=
122252768	122253767	1507=1X6004=
122253768	122254767	6004=
122254768	122255767	6004=
122255768	122256767	6004=
122256768	122257767	6004=
122257768	122258767	6004=
122258768	122259767	6004=1X6030=
122259768	122260767	6030=
122260768	122261767	6030=
122261768	122262767	6030=
122262768	122263767	6030=
122263768	122264767	6030=
122264768	122265767	6030=1X1834=
122265768	122266767	1834=
122266768	122267767	1834=1X2930=
122267768	122268767	2930=
122268768	122269767	2930=
122269768	122270767	2930=1X16=1X548=1X137=1X949=
122270768	122271767	949=1X28=1X33=1X4116=
122271768	122272767	4116=
122272768	122273767	4116=
122273768	122274767	4116=
122274768	122275767	4116=
122275768	122276767	4116=1X984=
122276768	122277767	984=1X1384=
122277768	122278767	1384=340D517=
122278768	122279767	517=1X138=1X2503=
122279768	122280767	2503=
122280768	122281767	2503=1X1084=
122281768	122282767	1084=
122282768	122283767	1084=1X8866=
122283768	122284767	8866=
122284768	122285767	8866=
122285768	122286767	8866=
122286768	122287767	8866=
122287768	122288767	8866=
122288768	122289767	8866=
122289768	122290767	8866=
122290768	122291767	8866=1X170=
122291768	122292767	170=1X369=1X566=1X808=
122292768	122293767	808=1X100=1X226=
122293768	122294767	226=1X11=1X4=1X47=1X47=1X76=1I216=1X21=1X11=1X41=1X33=1X57=2X3094=
122294768	122295767	3094=
122295768	122296767	3094=
122296768	122297767	3094=1X640=
122297768	122298767	640=1X1130=
122298768	122299767	1130=1X1531=
122299768	122300767	1531=
122300768	122301767	1531=1X3608=
122301768	122302767	3608=
122302768	122303767	3608=
122303768	122304767	3608=1X386=
122304768	122305767	386=1X2879=
122305768	122306767	2879=
122306768	122307767	2879=1X170=
122307768	122308767	170=1X303=1X1734=
122308768	122309767	1734=
122309768	122310767	1734=1X560=2039D
122310768	122311767	2039D
122311768	122312767	2039D348=
122312768	122313767	348=1X1408=
122313768	122314767	1408=1X2135=
122314768	122315767	2135=
122315768	122316767	2135=1X3209=
122316768	122317767	3209=
122317768	122318767	3209=
122318768	122319767	3209=1X172=
122319768	122320767	172=1X892=1X1761=
122320768	122321767	1761=
122321768	122322767	1761=1I3587=
122322768	122323767	3587=
122323768	122324767	3587=
122324768	122325767	3587=
122325768	122326767	3587=1X7264=
122326768	122327767	7264=
122327768	122328767	7264=
122328768	122329767	7264=
122329768	122330767	7264=
122330768	122331767	7264=
122331768	122332767	7264=
122332768	122333767	7264=1X523=
122333768	122334767	523=1X1=1X2238=
122334768	122335767	2238=
122335768	122336767	2238=1X312=1X861=
122336768	122337767	861=1X2186=
122337768	122338767	2186=
122338768	122339767	2186=1X1196=
122339768	122340767	1196=1X4634=
122340768	122341767	4634=
122341768	122342767	4634=
122342768	122343767	4634=
122343768	122344767	4634=
